"","de","a","ciudad","tipo"
"173",2019-04-18 07:49:00,2019-04-18 08:02:00,"Europe/Amsterdam","Walking"
"174",2019-04-18 08:09:00,2019-04-18 08:13:00,"Europe/Amsterdam","Running"
"175",2019-04-18 19:24:00,2019-04-18 19:49:00,"Europe/Amsterdam","Walking"
"176",2019-04-19 08:16:00,2019-04-19 08:30:00,"Europe/Amsterdam","Running"
"177",2019-04-19 08:31:00,2019-04-19 08:35:00,"Europe/Amsterdam","Walking"
"178",2019-04-19 08:43:00,2019-04-19 08:50:00,"Europe/Amsterdam","Running"
"179",2019-04-19 08:51:00,2019-04-19 09:00:00,"Europe/Amsterdam","Walking"
"180",2019-04-19 09:01:00,2019-04-19 09:06:00,"Europe/Amsterdam","Running"
"181",2019-04-19 19:30:00,2019-04-19 19:50:00,"Europe/Amsterdam","Cycling"
"182",2019-04-20 07:35:00,2019-04-20 07:56:00,"Europe/Amsterdam","Running"
"183",2019-04-20 08:04:00,2019-04-20 08:21:00,"Europe/Amsterdam","Running"
"184",2019-04-22 17:10:00,2019-04-22 18:35:00,"Europe/Madrid","Other"
"185",2019-04-23 06:15:00,2019-04-23 07:15:00,"Europe/Madrid","Pilates"
"186",2019-04-23 07:20:00,2019-04-23 07:32:00,"Europe/Madrid","Cycling"
"187",2019-04-23 07:31:19,2019-04-23 07:32:48,"Europe/Madrid","Running"
"188",2019-04-23 07:33:00,2019-04-23 07:48:45,"Europe/Madrid","Running"
"189",2019-04-24 16:02:29,2019-04-24 16:12:49,"Europe/Madrid","Running"
"190",2019-04-25 08:52:00,2019-04-25 09:04:00,"Europe/Madrid","Walking"
"191",2019-04-25 18:37:00,2019-04-25 18:43:00,"Europe/Madrid","Walking"
"192",2019-04-26 07:26:00,2019-04-26 07:38:00,"Europe/Madrid","Running"
"193",2019-04-27 07:15:00,2019-04-27 08:15:00,"Europe/Madrid","Pilates"
"194",2019-04-27 08:38:19,2019-04-27 08:51:30,"Europe/Madrid","Running"
"195",2019-04-27 15:00:00,2019-04-27 15:16:00,"Europe/Madrid","Walking"
"196",2019-04-27 16:10:00,2019-04-27 16:26:00,"Europe/Madrid","Walking"
"197",2019-05-07 14:03:00,2019-05-07 14:11:00,"Europe/Amsterdam","Walking"
"198",2019-05-07 19:16:00,2019-05-07 19:36:00,"Europe/Amsterdam","Walking"
